t,u,xd,x,I
4.079998,-0.187707,0.396774,0.398139,2.000000
4.089999,0.591854,0.397692,0.398691,53.000000
4.099999,-0.322132,0.398609,0.398953,19.000000
4.109999,0.565838,0.399526,0.400088,-6.000000
4.119999,-0.311407,0.400443,0.400669,-39.000000
4.130000,0.579422,0.401359,0.401629,-59.000000
4.140000,0.568272,0.402275,0.402007,77.000000
4.150000,-0.571693,0.403190,0.402764,68.000000
4.160000,0.562055,0.404105,0.404131,7.000000
4.170001,0.562037,0.405019,0.404422,85.000000
4.180001,-0.579182,0.405934,0.405149,26.000000
4.190001,-0.575495,0.406847,0.406894,-2.000000
4.200001,0.568190,0.407761,0.408058,-53.000000
4.210001,0.568175,0.408673,0.408291,39.000000
4.220002,-0.592898,0.409586,0.409192,-10.000000
4.230002,-0.589221,0.410498,0.411287,44.000000
4.240002,-0.211924,0.411410,0.412829,-38.000000
4.250002,0.565664,0.412321,0.413614,19.000000
4.260003,-0.579390,0.413232,0.414428,32.000000
4.270003,-0.581896,0.414142,0.416377,8.000000
4.280003,0.544628,0.415052,0.417715,17.000000
4.290003,0.124828,0.415962,0.417977,-46.000000
4.300004,-0.579489,0.416871,0.419083,-3.000000
4.310004,0.272673,0.417780,0.420653,0.000000
4.320004,0.581667,0.418688,0.421002,-80.000000
4.330004,-0.568423,0.419596,0.421555,-12.000000
4.340004,0.568024,0.420504,0.422922,2.000000
4.350005,0.579150,0.421411,0.423213,-15.000000
4.360005,-0.575925,0.422318,0.423853,-79.000000
4.370005,0.565510,0.423224,0.425540,-15.000000
4.380005,0.123173,0.424130,0.426064,-5.000000
4.390006,-0.572276,0.425035,0.427227,13.000000
4.400006,0.567937,0.425940,0.428507,6.000000
4.410006,0.123877,0.426845,0.428740,65.000000
4.420006,-0.562436,0.427749,0.429438,-42.000000
4.430007,0.588933,0.428652,0.430369,-22.000000
4.440007,0.579022,0.429556,0.430311,14.000000
4.450007,-0.566234,0.430459,0.430893,7.000000
4.460007,0.228165,0.431361,0.432260,6.000000
4.470007,0.567831,0.432263,0.432638,26.000000
4.480008,-0.566298,0.433164,0.433016,13.000000
4.490008,-0.348919,0.434066,0.434238,59.000000
4.500008,0.591307,0.434966,0.434849,-21.000000
4.510008,0.567776,0.435867,0.434936,8.000000
4.520009,-0.620890,0.436766,0.435896,0.000000
4.530009,-0.593701,0.437666,0.438252,-95.000000
4.540009,0.565299,0.438565,0.439881,-94.000000
4.550009,-0.590045,0.439463,0.440608,-59.000000
4.560009,-0.596276,0.440361,0.442732,3.000000
4.570010,-0.022743,0.441259,0.444303,-7.000000
4.580010,0.498203,0.442156,0.444914,-8.000000
4.590010,-0.600074,0.443053,0.445873,-5.000000
4.600010,-0.562960,0.443949,0.447881,-55.000000
4.610011,0.591242,0.444845,0.448637,-74.000000
4.620011,-0.228963,0.445740,0.448375,-32.000000
4.630011,0.014295,0.446635,0.449277,-50.000000
4.640011,0.581286,0.447530,0.449859,-38.000000
4.650012,-0.563086,0.448424,0.450237,23.000000
4.660012,0.320869,0.449317,0.451371,55.000000
4.670012,0.591147,0.450211,0.451604,-3.000000
4.680012,-0.444465,0.451103,0.451924,-1.000000
4.690012,0.567587,0.451996,0.453117,62.000000
4.700013,-0.024254,0.452887,0.453582,-61.000000
4.710013,-0.563227,0.453779,0.454542,-82.000000
4.720013,0.591066,0.454670,0.455531,81.000000
4.730013,0.526519,0.455560,0.455676,37.000000
4.740014,-0.573216,0.456450,0.456287,-73.000000
4.750014,-0.024033,0.457340,0.457974,-41.000000
4.760014,0.591008,0.458229,0.458556,47.000000
4.770014,0.567466,0.459117,0.458672,-3.000000
4.780015,-0.610491,0.460006,0.459807,-61.000000
4.790015,-0.604347,0.460893,0.462221,52.000000
4.800015,-0.569704,0.461781,0.463967,-58.000000
4.810015,0.023942,0.462667,0.465014,-72.000000
4.820015,0.571145,0.463554,0.465334,34.000000
4.830016,-0.594556,0.464439,0.466090,41.000000
4.840016,-0.583446,0.465325,0.468185,10.000000
4.850016,0.562722,0.466210,0.469552,-14.000000
4.860016,-0.423107,0.467094,0.469726,-52.000000
4.870017,-0.563698,0.467978,0.470890,5.000000
4.880017,0.590888,0.468862,0.471646,60.000000
4.890017,0.564860,0.469745,0.471384,16.000000
4.900017,-0.591040,0.470627,0.472344,59.000000
4.910017,-0.021496,0.471510,0.474148,36.000000
4.920018,0.590838,0.472391,0.474584,-33.000000
4.930018,0.571005,0.473272,0.474642,-82.000000
4.940018,-0.567617,0.474153,0.475486,75.000000
4.950018,0.590798,0.475033,0.476737,53.000000
4.960019,0.590793,0.475913,0.476795,5.000000
4.970019,-0.567716,0.476792,0.477202,33.000000
4.980019,0.584573,0.477671,0.478511,-55.000000
4.990019,0.590761,0.478549,0.478511,40.000000
5.000020,-0.583924,0.479427,0.479151,-46.000000
5.010020,0.567200,0.480305,0.480635,58.000000
5.020020,0.580815,0.481182,0.481013,-4.000000
5.030020,-0.564184,0.482058,0.481595,-39.000000
5.040020,-0.001638,0.482934,0.483020,-32.000000
5.050021,0.249164,0.483809,0.483834,49.000000
5.060021,-0.570446,0.484684,0.484562,-20.000000
5.070021,0.221109,0.485559,0.485812,-18.000000
5.080021,-0.570493,0.486433,0.486627,0.000000
5.090022,0.578205,0.487306,0.487703,1.000000
5.100022,-0.564352,0.488179,0.488169,-71.000000
5.110022,0.441967,0.489052,0.489478,-86.000000
5.120022,-0.433545,0.489924,0.490118,70.000000
5.130023,-0.221862,0.490795,0.491281,70.000000
5.140023,0.570669,0.491666,0.492037,4.000000
5.150023,-0.581819,0.492537,0.492736,-74.000000
5.160023,-0.591768,0.493407,0.494772,3.000000
5.170023,-0.248546,0.494276,0.496430,21.000000
5.180024,0.590448,0.495146,0.496982,-65.000000
5.190024,-0.578234,0.496014,0.497361,-57.000000
5.200024,-0.237981,0.496882,0.498902,-74.000000
5.210024,0.590407,0.497750,0.499484,-1.000000
5.220025,-0.276678,0.498617,0.499484,-1.000000
5.230025,-0.560993,0.499484,0.500764,25.000000
5.240025,0.590356,0.500350,0.501579,-45.000000
5.250025,-0.029209,0.501215,0.501288,39.000000
5.260026,-0.195099,0.502080,0.502160,30.000000
5.270026,0.566752,0.502945,0.503033,11.000000
5.280026,0.273776,0.503809,0.503324,-12.000000
5.290026,-0.568582,0.504673,0.504313,-3.000000
5.300026,0.590244,0.505536,0.505476,-51.000000
5.310027,0.584040,0.506398,0.505506,-48.000000
5.320027,-0.571162,0.507260,0.506029,-15.000000
5.330027,0.590211,0.508122,0.507164,-6.000000
5.340027,0.577808,0.508983,0.507309,9.000000
5.350028,-0.574981,0.509843,0.507833,36.000000
5.360028,-0.285808,0.510703,0.509258,50.000000
